Search Parameters	Year	Mo	Dy	Hr	Mn	Sec	Tsu	Vol	Location Name	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Death Description	Missing	Missing Description	Injuries	Injuries Description	Damage ($Mil)	Damage Description	Houses Destroyed	Houses Destroyed Description	Houses Damaged	Houses Damaged Description	Total Deaths	Total Death Description	Total Missing	Total Missing Description	Total Injuries	Total Injuries Description	Total Damage ($Mil)	Total Damage Description	Total Houses Destroyed	Total Houses Destroyed Description	Total Houses Damaged	Total Houses Damaged Description
[]	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1834	3	14	NA	NA	NA	685	NA	MEXICO:  ACAPULCO	16.8	-99.9	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
	1834	4	11	NA	NA	NA	NA	NA	CHINA:  YUNNAN PROVINCE	24.9	103	NA	5	6	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	1834	5	22	7	NA	0	NA	NA	"COLOMBIA:  SANTA MARTA,CARTAGENA"	11	-74.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1834	5	23	NA	NA	NA	NA	NA	"JORDAN:  AL-KARAK; ISRAEL:  JERUSALEM, NABULUS"	31.3	35.6	NA	6.3	9	NA	3	NA	NA	NA	NA	NA	2	NA	NA	NA	3	NA	3	NA	NA	NA	NA	NA	2	NA	NA	NA	3
	1834	5	NA	NA	NA	NA	NA	NA	GUAM:  AGANA	14	143.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA
	1834	8	12	15	30	0	NA	NA	VENEZUELA:  MERIDA	8.8	-70.9	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1834	10	10	NA	NA	NA	NA	NA	"INDONESIA:  JAVA:  BOGOR, CINAJUR"	-6.7	107	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3
	1834	10	15	6	30	0	NA	NA	"HUNGARY:  PISHKOL'T, ERENDREYD, DENGELEG"	47.6	22.3	32	6.8	8	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1834	NA	NA	NA	NA	NA	NA	NA	CHINA:  TIBET (XIZANG PROVINCE)	28.6	87.1	NA	6	8	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	1	NA	NA
	1834	NA	NA	NA	NA	NA	NA	NA	CHINA:  QINGHAI PROVINCE	33	97	NA	5.5	7	88	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1835	2	20	16	22	NA	689	NA	CHILE:  CONCEPCION	-36.83	-73.03	NA	8.2	11	50	1	30	1	500	3	NA	4	NA	3	NA	NA	53	2	30	1	500	3	NA	4	NA	3	NA	3
	1835	4	18	17	25	0	NA	NA	SWITZERLAND	46.7	7.8	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1835	7	20	NA	NA	NA	691	NA	JAPAN:  SANRIKU	37.9	141.9	NA	7.6	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1835	8	23	15	NA	0	NA	NA	TURKEY	38.5	35.5	NA	NA	10	300	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1835	10	12	23	NA	NA	NA	NA	"ITALY:  CASTIGLIONE,COSENZA,CRATI"	39.3	16.3	NA	NA	11	100	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1835	11	1	NA	NA	NA	NA	5605	INDONESIA:  MALUKU:  AMBON	-3.7	128.2	NA	NA	9	NA	NA	NA	NA	60	2	NA	2	NA	2	NA	NA	NA	3	NA	NA	60	2	NA	2	NA	2	NA	NA
	1836	3	5	NA	NA	NA	695	NA	FLORES SEA	-8.3	118.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1836	4	24	23	15	0	NA	NA	"ITALY:  ROSSANO,CROSIA,CRACO,BASILICATA"	39.6	16.6	NA	NA	11	589	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1836	6	10	15	30	0	NA	NA	CALIFORNIA	38	-122	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1836	7	3	NA	NA	NA	697	NA	CHILE:  COBIJA	-22.6	-70.3	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1836	11	20	7	NA	NA	NA	NA	ITALY:  BASILICATA	40.1	15.8	NA	NA	11	21	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1836	11	28	NA	NA	NA	701	NA	FLORES SEA	-8.3	118.7	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
	1837	1	1	1	NA	NA	702	NA	ISRAEL: ZEFAT (SAFED); LEBANON:  BEIRUT (BEYROUT)	33	35.5	NA	6.4	10	5000	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA	5000	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA
	1837	4	11	17	NA	0	NA	NA	ITALY	44.2	10.5	NA	NA	9	5	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1837	8	2	NA	NA	0	704	NA	VIRGIN ISLANDS	18.2	-64.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1837	8	9	21	30	NA	5494	NA	MEXICO: ACAPULCO	16.86	-99.88	NA	6.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1837	9	10	18	NA	0	NA	NA	"VENEZUELA:  SANTA TERESA DEL TUY,SANTA LUCIA"	10.3	-66.6	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1837	9	10	NA	NA	NA	NA	NA	CHINA:  GANSU PROVINCE	34.6	103.7	NA	6	8	37	1	NA	NA	NA	NA	NA	2	941	3	NA	NA	37	1	NA	NA	NA	NA	NA	2	941	3	NA	NA
	1837	9	29	NA	NA	NA	706	4905	INDONESIA:  BANDA ATJEH	5.5	96	100	7.3	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
	1837	10	18	21	0	NA	5495	NA	"MEXICO: MEXICO CITY,  ACAPULCO"	19.45	-99.15	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1837	11	7	12	51	NA	708	NA	CHILE:  VALDIVIA	-42.5	-74	NA	8.5	10	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA	16	1	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1837	11	22	NA	NA	NA	NA	NA	MEXICO:  GUADALAJARA	20	-105	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1837	11	28	NA	NA	NA	NA	NA	INDONESIA:  SUMBAWA ISLAND:  BIMA	-8.5	118.5	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
	1838	1	23	18	36	NA	NA	NA	"ROMANIA:  CARPATHIAN FOLD,VRANCEA"	45.7	26.6	150	6.9	8	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1838	5	7	NA	NA	NA	710	NA	CHILE:  CENTRAL	-36.7	-73.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1838	6	NA	NA	NA	NA	NA	NA	"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA"	37.6	-122.4	NA	7	8	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	1838	NA	NA	NA	NA	0	NA	NA	"ISRAEL:  TEL AVIV-YAFO (JAFFA),PALESTINE"	32	34.5	NA	NA	NA	3000	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1838	NA	NA	NA	NA	NA	NA	NA	MYANMAR (BURMA):  AVA (INNWA)	21.8	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	1839	1	11	9	55	0	NA	NA	"MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE; CASTRIES"	14.4	-61.1	33	7.8	9	390	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1839	2	7	NA	NA	NA	NA	NA	CHINA:  YUNNAN PROVINCE	26.1	99.9	NA	6	8	100	2	NA	NA	NA	NA	NA	2	600	3	NA	NA	100	2	NA	NA	NA	NA	NA	2	600	3	NA	NA
	1839	2	23	NA	NA	NA	NA	NA	CHINA:  YUNNAN PROVINCE	26.1	99.9	NA	6	8	129	3	NA	NA	18	1	NA	2	1667	4	NA	NA	129	3	NA	NA	18	1	NA	2	1667	4	NA	NA
	1839	3	22	NA	NA	NA	NA	NA	EL SALVADOR:  SAN SALVADOR	13.7	-89.2	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	4	NA	4	NA	NA	NA	3	NA	NA	NA	NA	NA	4	NA	4	NA	NA
	1839	3	23	NA	NA	NA	NA	NA	"MYANMAR (BURMA):  AVA, AMARAPURA"	21.9	96	NA	NA	11	400	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	400	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1839	3	NA	NA	NA	NA	2329	NA	HAWAII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1839	4	12	NA	NA	0	NA	NA	VENEZUELA:  CUMANA	10.5	-64.2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1839	5	1	NA	NA	NA	713	NA	"SE. HOKKAIDO ISLAND, JAPAN"	42.5	145	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	1839	6	27	NA	NA	NA	NA	NA	TAIWAN: JIAYI	23.4	120.4	NA	6.5	8	117	3	NA	NA	534	3	NA	3	6600	4	NA	NA	117	3	NA	NA	534	3	NA	3	6600	4	NA	NA
	1839	8	16	17	30	0	NA	NA	SWITZERLAND	45.9	6.1	NA	NA	7	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1840	1	4	NA	NA	NA	715	NA	INDONESIA:  JAVA:  PURWOREJO	-8	110.5	150	7	9	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1840	1	28	8	NA	NA	722	NA	PERU:  LIMA	-12.3	-77.3	40	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1840	2	14	NA	NA	NA	718	NA	INDONESIA:  MALUKU:  TERNATE ISLAND	0.8	127.325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	500	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	500	3	NA	NA
	1840	3	22	NA	NA	NA	719	NA	"PHILIPPINES:  SORSOGON,MASBATE IS,CASIGURAN,ALBAY"	12.9	123.9	NA	6.5	9	17	1	NA	NA	200	3	NA	3	NA	3	NA	NA	52	2	NA	NA	200	3	NA	3	NA	3	NA	NA
	1840	7	2	16	NA	NA	NA	NA	"TURKEY:  MT ARARAT, AGURI, ARALIKH; IRAN:  MAKU"	39.7	44.4	NA	6.7	9	1049	3	NA	NA	NA	NA	NA	4	NA	4	NA	NA	1049	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA
	1840	8	27	12	5	0	NA	NA	BALKANS NW:  SLOVENIA:  LJUBLJANA	46.2	14.7	8	4.9	7	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1840	10	30	NA	NA	NA	NA	NA	GREECE:  ZAKINTHOS (ZANTE)	38	21	NA	NA	10	12	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1840	11	11	NA	NA	NA	2355	NA	PENNSYLVANIA:  PHILADELPHIA	39.8	-75.2	NA	5.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1841	5	17	21	30	NA	723	NA	RUSSIA:  OFF KAMCHATKA	52	158	30	8.4	11	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
	1841	6	15	5	30	0	NA	NA	AZORES:  PRAIA DA VITORIA	38.4	-25.3	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1841	9	2	12	15	0	NA	NA	COSTA RICA:  CARTAGO; NICARAGUA	10	-84	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1841	11	26	NA	NA	NA	724	NA	INDONESIA:  N. MOLUCCAS ISLANDS	-5	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1841	12	16	NA	NA	NA	725	NA	INDONESIA:  BANDA SEA	-4	127.5	NA	6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA
	1842	1	2	NA	NA	0	NA	NA	AZERBAIJAN:  APSCHERON PENINSULA	40.5	50	3	4.3	8	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1842	2	19	NA	NA	0	NA	NA	AFGHANISTAN:  JALALABAD	34.4	70.5	NA	NA	NA	500	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1842	4	18	8	30	NA	NA	NA	GREECE:  MAINA (LACONIA)	36.5	22.3	100	NA	9	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1842	5	7	21	NA	NA	726	NA	HAITI:  CAP-HAITIEN	19.75	-72.2	NA	8.1	NA	5000	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA	5300	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA
	1842	6	11	NA	NA	NA	NA	NA	CHINA: XINJIANG PROVINCE	43.6	93	NA	7	9	NA	2	NA	NA	NA	3	NA	3	5460	4	NA	NA	NA	2	NA	NA	NA	3	NA	3	5460	4	NA	NA
	1842	11	1	NA	NA	NA	4313	NA	CANADA:  MONTREAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1842	11	11	NA	NA	NA	727	NA	BANGLADESH:	24	89.25	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	1842	12	8	NA	NA	NA	NA	NA	ETHIOPIA:  ANKOBER	9.6	39.8	NA	NA	9	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	1843	1	5	NA	NA	NA	728	NA	SW. SUMATRA	1.5	98	70	7.3	11	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1843	2	1	NA	NA	0	NA	NA	IRAN:  AZARBAIJAN:  KHVOY (KHOY)	38.3	44.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1843	2	7	NA	NA	NA	729	NA	INDONESIA:  JAVA:  GENTENG ISLAND	-7.2	114	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1843	2	8	14	50	0	730	NA	GUADELOUPE:  POINTE-A-PITRE	16.5	-62.2	33	8.3	9	5000	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	5000	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
	1843	4	1	NA	NA	0	NA	NA	INDIA:  DECCAN	19	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1843	4	18	NA	NA	0	NA	NA	IRAN:  KHVOY (KHOY)	38.6	44.9	NA	NA	7	1000	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1843	4	25	NA	NA	NA	732	NA	"JAPAN:  HOKKAIDO: YEZO, KUSHIRO, NEMURO"	42	146	NA	8.4	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	45	1	NA	NA	NA	NA	NA	2	75	2	NA	NA
	1843	7	8	5	5	NA	733	NA	NEW ZEALAND:  WANGANUI	-39.9	175	33	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1843	10	18	NA	NA	0	734	NA	GREECE:  CHALKI (DODECANESE)	36.3	27.5	NA	NA	9	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1843	12	17	22	15	0	NA	NA	CHILE	-29.9	-71.3	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1844	4	16	13	20	0	NA	NA	PUERTO RICO:  SAN JUAN; ST THOMAS	18.3	-66.8	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1844	5	12	NA	NA	NA	NA	NA	"IRAN:  KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA"	33.6	51.4	NA	6.4	NA	1500	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA	1500	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1844	5	12	NA	NA	NA	NA	NA	"TURKEY:  OSMANCIK, ANKARA"	40.98	34.8	NA	NA	9	200	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	200	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	1844	5	13	NA	NA	NA	NA	NA	"IRAN:  MIYANEH, GARMRUD, ESFAHAN"	37.4	48	NA	6.9	NA	NA	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA	NA	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA
	1844	5	NA	NA	NA	NA	5667	NA	"NICARAGUA: RIVAS, GREYTOWN"	11.2	-84.8	NA	7.4	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	2
	1844	8	30	7	10	0	NA	NA	SAINT VINCENT:  KINGSTOWN	13.1	-61.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1844	8	NA	NA	NA	0	NA	NA	NICARAGUA:  SAN JUAN DEL NORTE(GREYTOWN)	11	-84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1844	10	19	1	30	0	NA	NA	"ARGENTINA:  SALTA, JUJUY, TUCUMAN"	-25	-66	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	2	8	7	30	NA	741	489	"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON"	1.48	124.85	NA	7	9	118	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	118	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA
	1845	2	12	NA	NA	NA	NA	NA	ETHIOPIA	12.3	39	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	2	19	NA	NA	NA	NA	3833	COLOMBIA:  MAGDALENA RIVER	4.5	-75.4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	2	NA	NA	NA	NA	NA	NA	TAIWAN:  ZHANGHUA	24.1	120.5	NA	6	8	380	3	NA	NA	NA	3	NA	3	4000	4	NA	NA	380	3	NA	NA	NA	3	NA	3	4000	4	NA	NA
	1845	3	9	NA	NA	0	NA	NA	MEXICO:  OAXACA	17	-96.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	4	7	NA	NA	NA	742	NA	MEXICO:  MEXICO CITY	17	-100.6	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2
	1845	6	4	2	15	0	NA	NA	CHILE	-18.5	-70.4	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	6	19	NA	NA	NA	743	NA	INDIA:  RANN OF KUTCH	23.583	68.367	NA	6.3	8	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	2	NA	NA
	1845	7	5	NA	NA	NA	744	NA	N. NEW ZEALAND	-39.93	175.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	10	11	NA	NA	0	NA	NA	TURKEY	39.1	26.2	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1845	12	21	20	40	0	NA	NA	BALKANS NW:  SLOVENIA:  LJUBLJANA	46.1	14.5	7	4.9	7	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1846	1	25	0	0	NA	749	NA	INDONESIA:  N. MOLUCCAS ISLANDS	2	126.5	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1846	3	13	11	0	NA	NA	NA	CHILE:  COIAPO	-27.35	-70.35	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA
	1846	3	NA	NA	NA	NA	750	NA	"SANRIKU, JAPAN"	39.5	142.5	NA	6.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1846	6	10	18	NA	NA	NA	NA	GREECE:  MESSINI-MICROMANI (MESSINIA)	37	22	NA	NA	10	30	2	NA	NA	NA	NA	0.8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1846	6	28	1	15	NA	NA	NA	PERU	-14	-76.8	50	7.9	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1846	8	7	NA	NA	NA	NA	NA	ITALY:  SIRACUSA (SYRACUSE)	37	15.3	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1846	8	14	12	35	NA	3313	NA	"ITALY:  ORCIANO, LUCIANA"	43.4	10.6	5	6.1	10	56	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	56	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	1846	12	10	NA	NA	0	NA	NA	INDIA	26	93	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1847	3	8	15	0	NA	NA	NA	CHILE	-32.45	-71.27	NA	NA	10	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
